rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b predecessor ?a => ?a successor ?b,?b predecessor ?a,?a successor ?b,1.0,1.0,1.0,471,471,471,?a
?a father ?b => ?a parent ?b,?a father ?b,?a parent ?b,0.531073446,1.0,1.0,658,658,658,?b
?a mother ?b => ?a parent ?b,?a mother ?b,?a parent ?b,0.430992736,1.0,1.0,534,534,534,?b
?b predecessor ?a ?b spouse ?a => ?a spouse ?b,?b predecessor ?a ?b spouse ?a,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?b spouse ?a ?b successor ?a => ?a spouse ?b,?b spouse ?a ?b successor ?a,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?a predecessor ?b ?b spouse ?a => ?a spouse ?b,?a predecessor ?b ?b spouse ?a,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?b spouse ?a ?a successor ?b => ?a spouse ?b,?b spouse ?a ?a successor ?b,?a spouse ?b,0.010416667,1.0,1.0,12,12,12,?a
?f name ?b ?a name ?f => ?a name ?b,?f name ?b ?a name ?f,?a name ?b,0.19872814,1.0,1.0,125,125,125,?a
?f gender ?b ?a name ?f => ?a gender ?b,?f gender ?b ?a name ?f,?a gender ?b,0.119161106,1.0,1.0,125,125,125,?a
?a name ?f ?f type ?b => ?a type ?b,?a name ?f ?f type ?b,?a type ?b,0.058505851,1.0,1.0,130,130,130,?a
?a father ?f ?f type ?b => ?a type ?b,?a father ?f ?f type ?b,?a type ?b,0.296129613,1.0,1.0,658,658,658,?a
?a predecessor ?f ?f type ?b => ?a type ?b,?a predecessor ?f ?f type ?b,?a type ?b,0.168316832,1.0,1.0,374,374,374,?a
?e mother ?a ?e type ?b => ?a type ?b,?e mother ?a ?e type ?b,?a type ?b,0.195769577,1.0,1.0,435,435,435,?a
?a mother ?f ?f type ?b => ?a type ?b,?a mother ?f ?f type ?b,?a type ?b,0.240324032,1.0,1.0,534,534,534,?a
?a child ?f ?f type ?b => ?a type ?b,?a child ?f ?f type ?b,?a type ?b,0.192169217,1.0,1.0,427,427,427,?a
?a spouse ?f ?f type ?b => ?a type ?b,?a spouse ?f ?f type ?b,?a type ?b,0.441044104,1.0,1.0,980,980,980,?a
?a successor ?f ?f type ?b => ?a type ?b,?a successor ?f ?f type ?b,?a type ?b,0.179117912,1.0,1.0,398,398,398,?a
?a parent ?f ?f type ?b => ?a type ?b,?a parent ?f ?f type ?b,?a type ?b,0.306930693,1.0,1.0,682,682,682,?a
?e father ?a ?e type ?b => ?a type ?b,?e father ?a ?e type ?b,?a type ?b,0.243474347,1.0,1.0,541,541,541,?a
?e successor ?a ?e type ?b => ?a type ?b,?e successor ?a ?e type ?b,?a type ?b,0.168316832,1.0,1.0,374,374,374,?a
?e predecessor ?a ?e type ?b => ?a type ?b,?e predecessor ?a ?e type ?b,?a type ?b,0.179117912,1.0,1.0,398,398,398,?a
?e parent ?a ?e type ?b => ?a type ?b,?e parent ?a ?e type ?b,?a type ?b,0.45769577,1.0,1.0,1017,1017,1017,?a
?e child ?a ?e type ?b => ?a type ?b,?e child ?a ?e type ?b,?a type ?b,0.635013501,1.0,1.0,1411,1411,1411,?a
?e spouse ?a ?e type ?b => ?a type ?b,?e spouse ?a ?e type ?b,?a type ?b,0.441044104,1.0,1.0,980,980,980,?a
?f hasSpouse ?b ?a spouse ?f => ?a hasSpouse ?b,?f hasSpouse ?b ?a spouse ?f,?a hasSpouse ?b,0.443037975,1.0,1.0,980,980,980,?a
?e hasSpouse ?b ?e spouse ?a => ?a hasSpouse ?b,?e hasSpouse ?b ?e spouse ?a,?a hasSpouse ?b,0.443037975,1.0,1.0,980,980,980,?a
