rule,body,head,head_coverage,std_confidence,pca_confidence,positive_examples,body_size,pca_body_size,functional_variable
?b brotherOf ?a => ?a brotherOf ?b,?b brotherOf ?a,?a brotherOf ?b,1.0,1.0,1.0,2,2,2,?a
?b allyOf ?a => ?a allyOf ?b,?b allyOf ?a,?a allyOf ?b,1.0,1.0,1.0,52,52,52,?a
?a servantOf ?b => ?a allyOf ?b,?a servantOf ?b,?a allyOf ?b,0.134615385,1.0,1.0,7,7,7,?a
?a brotherOf ?b => ?a allyOf ?b,?a brotherOf ?b,?a allyOf ?b,0.038461538,1.0,1.0,2,2,2,?a
?b servantOf ?a => ?a allyOf ?b,?b servantOf ?a,?a allyOf ?b,0.134615385,1.0,1.0,7,7,7,?a
?b brotherOf ?a => ?a allyOf ?b,?b brotherOf ?a,?a allyOf ?b,0.038461538,1.0,1.0,2,2,2,?a
?a brotherOf ?f ?f servantOf ?b => ?a servantOf ?b,?a brotherOf ?f ?f servantOf ?b,?a servantOf ?b,0.285714286,1.0,1.0,2,2,2,?a
?f servantOf ?b ?a servantOf ?f => ?a servantOf ?b,?f servantOf ?b ?a servantOf ?f,?a servantOf ?b,0.142857143,1.0,1.0,1,1,1,?a
?e brotherOf ?a ?e servantOf ?b => ?a servantOf ?b,?e brotherOf ?a ?e servantOf ?b,?a servantOf ?b,0.285714286,1.0,1.0,2,2,2,?a
?a brotherOf ?f ?f type ?b => ?a type ?b,?a brotherOf ?f ?f type ?b,?a type ?b,0.142857143,1.0,1.0,2,2,2,?a
?a enemyOf ?f ?f type ?b => ?a type ?b,?a enemyOf ?f ?f type ?b,?a type ?b,0.857142857,1.0,1.0,12,12,12,?a
?a allyOf ?f ?f type ?b => ?a type ?b,?a allyOf ?f ?f type ?b,?a type ?b,1.0,1.0,1.0,14,14,14,?a
?e servantOf ?a ?e type ?b => ?a type ?b,?e servantOf ?a ?e type ?b,?a type ?b,0.214285714,1.0,1.0,3,3,3,?a
?e loves ?a ?e type ?b => ?a type ?b,?e loves ?a ?e type ?b,?a type ?b,0.214285714,1.0,1.0,3,3,3,?a
?f servantOf ?a ?b servantOf ?f => ?a allyOf ?b,?f servantOf ?a ?b servantOf ?f,?a allyOf ?b,0.019230769,1.0,1.0,1,1,1,?a
?e enemyOf ?a ?e type ?b => ?a type ?b,?e enemyOf ?a ?e type ?b,?a type ?b,0.714285714,1.0,1.0,10,10,10,?a
?a servantOf ?e ?e type ?b => ?a type ?b,?a servantOf ?e ?e type ?b,?a type ?b,0.428571429,1.0,1.0,6,6,6,?a
?b loves ?f ?f servantOf ?a => ?a allyOf ?b,?b loves ?f ?f servantOf ?a,?a allyOf ?b,0.019230769,1.0,1.0,1,1,1,?a
?f brotherOf ?a ?b loves ?f => ?a allyOf ?b,?f brotherOf ?a ?b loves ?f,?a allyOf ?b,0.019230769,1.0,1.0,1,1,1,?a
?e allyOf ?a ?e type ?b => ?a type ?b,?e allyOf ?a ?e type ?b,?a type ?b,1.0,1.0,1.0,14,14,14,?a
?b brotherOf ?f ?f servantOf ?a => ?a allyOf ?b,?b brotherOf ?f ?f servantOf ?a,?a allyOf ?b,0.038461538,1.0,1.0,2,2,2,?a
